"Sample","MEgreen","MEyellow","MEbrown","MEred","MEblue","MEturquoise","MEgrey"
"GSM3332691",0.0597090373496723,0.0499691907305474,0.0293118651232113,0.0232089550409846,-0.065893708181848,-0.0402733990512147,-0.0598673416038615
"GSM3332694",0.147118291186247,0.157272399644401,-0.241919854515297,0.243329169321935,-0.20980647960614,-0.0390341005686091,-0.257871456097339
"GSM3332699",0.138138122659914,0.0338600305673454,-0.0173666547469076,-0.0263836939254625,-0.168014378928028,-0.110031688002937,-0.0208147986162053
"GSM3332705",-0.0969028603137109,-0.0512732619862652,-0.097932579198903,0.0941008551021793,0.0431390645874756,0.0900289411242311,-0.0851780653472175
"GSM3332708",0.0157258997309473,0.0205209719748988,-0.0161754020402636,0.165204916718715,-0.141371384293338,0.0576688901773773,-0.132793600956108
"GSM3332711",-0.0679461163091642,-0.025910628660153,-0.0309978474090734,0.0554691400784865,0.0432237867073643,0.0747934737305564,-0.0647450847410556
"GSM3332714",-0.095928665394528,-0.0566031139501394,0.023163664815284,0.0500675638312411,0.0299646004035316,0.0629357608915958,-0.0254761312878692
"GSM3332719",0.108572053143521,0.0322591936535324,-0.195460773460717,-0.184744312854476,0.0258027551776609,-0.125680499191555,0.0964066926453173
"GSM3332722",-0.0893791215691167,-0.0225628489941038,-0.00492975936328444,0.130116843365379,0.0134992853544174,0.125427252403922,-0.124908383340909
"GSM3332725",0.00593135380759499,-0.0240727969301519,-0.0818667493806137,-0.0333605867734423,-0.0267811910870627,-0.0196792202539114,0.0752538788391038
"GSM3332727",-0.161699117914769,-0.140292162284591,-0.0485945476844478,-0.0337951195090483,0.0466181237015919,0.096163327593106,-0.0592290275226994
"GSM3332732",0.00244571042311931,0.0476589521433408,0.095602400831575,-0.119703751700419,-0.0663541998182423,-0.129762434585267,0.0425242462432098
"GSM3332738",-0.13670387285142,-0.223895730676286,0.0153668551026634,-0.023729986350016,-0.0440833755971182,0.109647957798001,-0.083022628236501
"GSM3332740",-0.160469786642404,-0.193418158271007,0.0246759109772253,0.0401115963560337,0.0073432901966014,0.159345300849397,-0.108254909073926
"GSM3332744",-0.0466205900963858,-0.142518215513858,0.0909056689265165,-0.10230134605415,0.0316500633882283,0.0401825036055285,0.0835315558804616
"GSM3332748",0.045615079068579,0.0317969157730508,-0.0229017104224524,0.0456623091871754,-0.0478777687490959,0.0061908642249992,-0.0113227304721047
"GSM3332757",-0.0311456947937717,0.0221918447806658,-0.119869263625307,0.0836905947517049,-0.0703077789830958,0.00493985599451394,-0.126725152502956
"GSM3332763",-0.0403851703580263,0.0811066947040859,-0.0923783471342223,0.18232149986294,0.0929004069659411,0.0712910041655924,-0.0885748527352552
"GSM3332767",-0.146106528234006,-0.206467832998674,-0.0078244494050736,0.0147961686279213,0.0294812419096961,0.147613927005177,-0.0638002566129308
"GSM3332770",0.068897114256381,-0.018333476075918,0.0267492834471202,-0.0569758505484029,-0.0125164286898143,-0.0239487540487551,0.125598178639691
"GSM3332774",0.0919627509046109,0.111151843859125,0.0796605935900155,-0.16172194270057,0.00213026170649627,-0.183346711409673,0.173448699515095
"GSM3332781",-0.0418072802124548,0.157493357905621,-0.0736613465248665,0.0659874474145358,0.178661322994376,-0.000344582386057325,0.0998637267663893
"GSM3332782",0.209415523655309,0.089743361713656,-0.0378330927040114,-0.0993035087985195,-0.231358832119405,-0.203088539940973,-0.0447320188335973
"GSM3332784",-0.0029793100322708,-0.0502149746642812,0.0574197209930925,-0.0966634479064368,0.0296377383830483,0.00145421921644212,0.149577916408016
"GSM3332786",-0.102576234647213,-0.111480670948701,-0.0422290002401271,0.0178871351424415,0.014367337974072,0.0972379381936549,-0.0140842830773115
"GSM3332791",0.0942346115663417,0.0511519422818219,-0.0908021678598766,-0.0136672720764356,-0.0637506102063053,-0.0845524831010462,0.0517814507747027
"GSM3332798",-0.0349059692493844,-0.00599849223513742,0.00415842581626623,0.0725047427714861,0.0214857107009835,0.0236033066724135,-0.0808103853332361
"GSM3332801",-0.224434166734849,-0.087405341518062,-0.0817162080904301,0.07096164459719,0.152696445129236,0.1364029801004,-0.0413354954505283
"GSM3332806",0.101952061566886,0.0402514031603477,-0.0843763112608535,-0.0176487883882401,-0.137525690036766,-0.0635659482100341,0.0127405576697485
"GSM3332809",-0.0649289710313764,-0.00692361628488905,-0.120519351906413,0.159766273149224,0.000242712211393338,0.109844260654882,-0.157371699037258
"GSM3332813",0.0949912535292653,0.10407051554652,0.056501264911645,-0.162182516777001,-0.00334233758924148,-0.158228489898448,0.0929068162265688
"GSM3332818",-0.0123043824992562,-0.0188681741094201,0.0194386515262939,-0.0790526167624397,0.143573756058408,0.0211180938353566,0.164531419572221
"GSM3332823",-0.0261915716878893,-0.0925946928880056,0.174978398203188,-0.0894877700741554,-0.12361297148366,-0.0604159124713666,-0.115285809114536
"GSM3332827",0.0224542287373483,0.0594713626752631,0.103752585928872,0.00252901214630593,0.121772394076691,0.0357815316380774,0.0511640886870371
"GSM3332833",-0.0273401546058826,0.0809331605586841,-0.042589619682172,0.0768141387854058,0.0516549486321508,0.00412111514282991,-0.0511858381782315
"GSM3332834",-0.103842529241625,-0.0655057175682863,-0.0458234318532984,0.0709414374096976,0.0190991932971423,0.0760103816754334,-0.0969254651433646
"GSM3332837",0.0147979548494929,0.0043329207516119,-0.138307774267438,-0.0733472332423719,-0.15304557871039,-0.124019622077059,0.00262240989064891
"GSM3332842",0.034090347818195,0.0639172579444237,-0.0521814479638442,0.020290427544602,0.091819079965161,0.021448993105111,0.0364774884452863
"GSM3332845",-0.0300930169948657,0.040276410505607,0.00715261683288085,0.0710262556881023,0.0826679859228024,0.0393896772845817,0.0155748239774704
"GSM3332850",0.0651818079667163,0.0587454821563091,-0.0540927855714278,-0.0391619326265902,-0.0332848305734935,-0.103012188154243,0.0427416361822961
"GSM3332857",0.056382953663515,-0.0414574536752495,0.200091422302592,-0.0700356202781048,-0.101194144641506,-0.0333256970434303,-0.0294229606873321
"GSM3332858",-0.156942383894548,-0.17002910458336,0.0796497238493833,0.038629231933896,0.109344823784552,0.144840393555292,0.00676606620197414
"GSM3332860",0.23798402515322,0.0902084072672039,0.0931257620799566,-0.281599467147327,-0.155497095898182,-0.25022786807581,0.141621345763802
"GSM3332863",0.122343036975244,0.0706773515365486,-0.0084745401779119,-0.138703488898736,-0.0909847223945466,-0.183397851334002,0.17032003156157
"GSM3332864",0.103115825303172,0.0397206421217524,0.0165470995497141,0.0020831703086493,-0.0364779422111371,-0.0270067414471897,0.0647792937754982
"GSM3332869",0.0532783275598993,0.121858906345586,-0.0840283733992143,0.0111842993471965,0.0372945737147949,-0.0522518291040705,0.029098095464663
"GSM3332874",0.0889657822429617,0.0967204688261364,0.0860535569684455,-0.0391471867507076,0.0417620831363822,-0.0366465185782992,0.105362217388831
"GSM3332878",-0.137316163882514,-0.0457613277742746,-0.056354752270878,-0.0548103939564444,0.144816449051222,0.0536380465422862,0.133276974826879
"GSM3332881",0.0552840691861888,-0.0616032961378513,0.000684569953996094,-0.0888008246581432,-0.058614638648105,-0.042702297637772,0.127832603979164
"GSM3332888",0.044823702390112,0.0713472363153341,0.101144512840625,-0.0252976345357702,-0.0271354867041585,-0.0528568712445855,-0.0649128774674109
"GSM3332890",0.133097392631439,0.0659812718761852,-0.00159753393598005,0.0847633819232708,-0.147875978605906,-0.0699505227197259,-0.0535310450735903
"GSM3332892",-0.00189574789021817,0.137282015829621,-0.1557149677785,0.0796329711673767,0.0719181368196243,-0.0408818944970727,-0.00772002546683836
"GSM3332897",-0.0898129165365213,-0.0794727445698569,-0.0186812083646065,0.0252500054394192,0.0119406870878623,0.0925468433190646,0.00735575569037536
"GSM3332900",0.142929568978432,0.16315948970589,0.00854715127680714,0.0714437950367375,-0.0973101246739722,-0.0745217031222181,-0.0642594336818922
"GSM3332904",0.0825614497261085,0.0747953889343889,0.165018644575096,0.0371359813751851,0.170728997804399,0.0805825306448209,0.130781044472917
"GSM3332907",-0.0715294314053439,-0.0335131399870925,-0.12486176448666,0.136376429223989,-0.0168404405899554,0.108003375162484,-0.113172275022241
"GSM3332912",0.145341203580015,0.163870578034368,-0.197636433318519,0.0212606414616763,-0.195268485505323,-0.182806686423895,-0.0612465848685036
"GSM3332917",0.129320669552968,0.0944752917089026,0.137723497331988,-0.14921573631941,0.00649208563742681,-0.12901010201973,0.0808881157995191
"GSM3332921",-0.127131335301374,-0.0924700400271604,-0.00584951403387389,-0.0334479935214257,0.113402459367751,0.0951583538110002,0.0879108670728678
"GSM3332926",0.0741125770698421,0.139082559657417,-0.0989033740092139,0.0555515880091735,-0.041672231711409,-0.0873908260842252,-0.0194464600508727
"GSM3332929",0.0950969133954768,0.102962411357629,0.18278065200793,-0.0165761037751915,0.0542406568031395,-0.026101492896092,0.0521667620957244
"GSM3332934",0.0259353700171562,-0.0616725643680263,0.0838541282900436,0.0564806854320422,0.0859265344083397,0.0858086300472759,0.14021375440502
"GSM3332939",-0.0346472812341833,0.0480915585276973,0.0542862995155623,0.035674347666122,0.0465272703181121,-0.00134160723535588,-0.0489773380488555
"GSM3332945",0.0334474515160371,0.0113524151090921,0.0483583501892632,-0.118096526705152,0.0540725025948881,-0.0446109421378857,0.151543349561868
"GSM3332948",0.0183713780487064,-0.00791655540438019,0.0208833915470593,0.0962897459372697,-0.192046558925649,-0.0051598922921428,-0.226342513829466
"GSM3332956",0.0190833654277112,-0.0169397588957924,0.112218020541154,-0.000151734406889975,-0.0155953461341675,-0.00145704662238988,0.00990229393599368
"GSM3332962",-0.155254177010506,-0.123783366700616,0.0091741547329181,0.0756615710847657,0.136850988249144,0.187084927839108,-0.0289894747288048
"GSM3332965",-0.0451593612051574,-0.0555382162461647,0.0956065057779117,0.0369940760775623,0.0597851119231705,0.0670107800370651,0.0381165941194918
"GSM3332969",-0.141778788859927,-0.107597087857821,0.0454787296995544,-0.00254389274669104,0.0824364889654375,0.0774099572355213,-0.0318096296552172
"GSM3332972",-0.0537670247624445,-0.00263469022688815,-0.0649809754195468,-0.00608942843066685,0.0632306294120714,0.00410731115120629,0.0379119873759547
"GSM3332980",-0.050223688752025,0.0479853190605261,-0.0810015924167128,0.137560090961779,0.0427391932805549,0.093612820298108,-0.0475728551748169
"GSM3332982",-0.045019232604477,-0.11776566806526,0.128921900434183,-0.0538109618399987,0.0351996319945475,0.0748189539561415,0.000809439077048478
"GSM3332986",0.129359863520515,-0.0514869396721377,0.104490615982318,-0.256816254208329,0.00302806568071884,-0.130254708141404,0.235647084674807
"GSM3332989",-0.104132020888868,-0.214822892554099,0.230235425965185,-0.150816316778011,0.00574019790794597,0.0690279004440683,0.00878509664490229
"GSM3332995",0.0444948996848056,0.39394701231331,-0.182540278770057,0.177259785286051,0.127396019730139,-0.0933408543639596,-0.0854836202353356
"GSM3333000",-0.0180176325107333,-0.167521259227399,0.178856516646875,-0.0676833251307244,0.0141176775495121,0.0805069348098584,0.0743498171885639
"GSM3333006",0.0787160151686294,-0.00737576892711479,0.094657269131035,-0.0142615367936798,-0.122036658654695,-0.0132033904612702,0.045074549429006
"GSM3333008",-0.0444533853148815,-0.108065385193751,0.124635482420866,-0.0942562373769725,0.0342610573228513,0.0443993623761821,0.0550414312627798
"GSM3333015",-0.184420930086172,-0.0215034110212036,-0.103327830221418,0.138413300531384,0.166922292167038,0.160869340104557,-0.104185044410481
"GSM3333018",0.144311376798001,0.133345341731522,-0.094819512893697,-0.0115902230172089,-0.0966495904798889,-0.147741488246957,-0.0402034224046646
"GSM3333024",-0.198289958474365,-0.186300754081819,-0.0040524958990064,0.172525971452104,0.139372378608049,0.278878124286399,-0.0227328375416357
"GSM3333030",0.0976093597005842,0.0151528304336151,0.283083515171122,-0.322935290492127,-0.0616323044285689,-0.185261251398887,0.0476412118944507
"GSM3333033",-0.00851316317604667,-0.0290991314655176,0.0884925859443481,-0.0865285728719655,0.0841011615213341,-0.0198404526653253,0.103755328530895
"GSM3333037",0.0876898136994697,0.033989833962986,-0.171535047478479,0.0451356696444452,-0.25045203390631,-0.125493089980998,-0.216911404392081
"GSM3333041",-0.180686945470095,-0.127834861592431,-0.0984644368266401,0.122397120814961,0.11189638593192,0.172858990078568,-0.0212267396174808
"GSM3333046",0.0363318768278468,0.0950529214625606,-0.06505912712354,-0.00908855031228403,0.081516306876728,-0.0432646582288765,0.152015045538652
"GSM3333049",0.208705785847515,0.0427096935645032,-0.0336562792596939,-0.0705362685644602,-0.318877596019463,-0.196545195437947,-0.180358067092097
"GSM3333056",3.03242640649944e-05,-0.123929955543472,0.196550417395744,-0.0784707776853729,-0.0747808065759297,0.00630297281655008,-0.00871442010119578
"GSM3333058",0.0162780276504594,-0.0166948376450658,-0.118211485952108,-0.0589745383375599,-0.0654833993818432,-0.0602326800938271,-0.0161962146491596
"GSM3333063",0.052794482604993,0.0785201476830313,-0.0199363873179387,-0.00689895515574557,0.0714212177345422,-0.0266175768868136,0.117317541470056
"GSM3333071",-0.00212463434005469,0.0388406365207669,0.0222584004970494,-0.013587747981944,0.111274898637975,-0.00340009067521885,0.166481974103784
"GSM3333072",-0.137621511549842,-0.0032314184306484,-0.0672428132321668,0.115302530431646,0.119005596517807,0.12813527093795,-0.0556959184986276
"GSM3333076",-0.19747319085368,-0.0330619329358824,-0.0662707688186385,0.179134789279399,0.0909785938561572,0.124788999440625,-0.2905913618553
"GSM3333080",0.0778292894907562,0.023505394448438,0.0296036017364636,0.0803205275109263,-0.122590313769169,0.00114653828534169,-0.161304435340506
"GSM3333084",-0.106773809611517,-0.183873039878941,0.0746508031999828,-0.0416839014245594,0.0477666613755575,0.106510431722564,0.0334784721751634
"GSM3333089",0.0808164471338826,0.104486171881335,-0.1409486448647,-0.0135626670609337,0.0370041232967657,-0.0948609455366914,0.0423326413639252
