GeneSymbol,matched_in_test,impute_median,train_mean,train_sd
CDKN2D,TRUE,-0.007734312,-0.0128302077409422,0.139347044727153
WSB2,TRUE,-0.07492722,-0.0708528291036403,0.159844568607112
CBLN4,TRUE,-0.4499291,-0.380139985569593,0.412258564228116
PCSK1,TRUE,-0.2426804,-0.286406137110493,0.399294473377674
BEX2,TRUE,-0.06173015,-0.101047843720535,0.214596939761052
MCHR2,TRUE,-0.3294261,-0.317028652072163,0.411297587062245
SGIP1,TRUE,-0.1363468,-0.135856744006424,0.171889263248026
SLC39A10,TRUE,-0.1060149,-0.123736507550557,0.202093609105708
R3HDM1,TRUE,-0.07714039,-0.107672044822056,0.187575421102697
C1orf115,TRUE,-0.05468833,-0.082064404477045,0.168691708007664
FZD7,TRUE,0.04291227,0.04239619820394,0.227955926084839
RAB3C,TRUE,-0.1518901,-0.151929374706638,0.21248596250894
CREG2,TRUE,-0.1829808,-0.214865480680728,0.31542150264067
NME5,TRUE,-0.1593921,-0.153006079672377,0.202895227498786
TMEM130,TRUE,-0.01746712,-0.0798806040571735,0.252090011068502
CCNA1,TRUE,-0.08441484,-0.106778701568308,0.186120412410326
CPNE4,TRUE,-0.04432178,-0.0832665291524625,0.232459044346824
REEP1,TRUE,-0.09230946,-0.107686847980942,0.212448523677898
ATP1B1,TRUE,-0.08975282,-0.13332588799636,0.266172993496464
ATP6AP2,TRUE,-0.1794486,-0.168876618502998,0.201948700992436
LMO4,TRUE,-0.01091352,-0.0403776631796574,0.201576733777508
KCNS2,TRUE,-0.114942,-0.165727140640685,0.250485497037915
TUBB3,TRUE,0.01796461,-0.0250654587512634,0.2086506188334
LRRC8B,TRUE,-0.1247294,-0.148598466204283,0.206819656830463
C1QL3,TRUE,-0.3239046,-0.276070281278373,0.309157870418569
QPCT,TRUE,-0.1786692,-0.182073053414989,0.237248865190772
PNMA2,TRUE,-0.02030561,-0.0897699021674518,0.231172873428825
ATP2B1,TRUE,-0.1612682,-0.208566278979872,0.275591754660451
EFHD1,TRUE,0.001330739,0.00125181069593148,0.216751659762654
CDC42SE2,TRUE,-0.1777341,-0.160466542303426,0.216802969370047
AK5,TRUE,-0.05410254,-0.118645215686938,0.2300139945338
SLC17A6,TRUE,-0.108806,-0.159215682755675,0.233902214321472
