Feature,Coefficient
(Intercept),1.30168565640255
CDKN2D,-1.25067294427492
WSB2,-0.84922310679612
CBLN4,-0.462032637794441
PCSK1,0
BEX2,0
MCHR2,0
SGIP1,-0.333988057167891
SLC39A10,0
R3HDM1,0
C1orf115,-0.0840385013384925
FZD7,0.17357024726322
RAB3C,0
CREG2,-0.0239164006640113
NME5,0
TMEM130,0
CCNA1,0
CPNE4,0
REEP1,0
ATP1B1,0
ATP6AP2,0
LMO4,0
KCNS2,0
TUBB3,0
LRRC8B,0
C1QL3,0
QPCT,0
PNMA2,0
ATP2B1,0
EFHD1,0
CDC42SE2,0
AK5,0.308913655406422
SLC17A6,0.345058430664778
